pitch start end duration velocity
G2 0.0000 0.2381 0.2381 50
G3 0.2381 0.4762 0.2381 50
G3 0.4762 0.7143 0.2381 50
G3 0.7143 0.9524 0.2381 50
G3 0.9524 1.1905 0.2381 50
G3 1.1905 1.4286 0.2381 50
G3 1.4286 1.6667 0.2381 50
G3 1.6667 1.9048 0.2381 50
G3 1.9048 2.1429 0.2381 50
G3 2.1429 2.3809 0.2381 50
G3 2.3809 2.6190 0.2381 50
G3 2.6190 2.8571 0.2381 50
G3 2.8571 3.0952 0.2381 50
G3 3.0952 3.3333 0.2381 50
G3 3.3333 3.5714 0.2381 50
G3 3.5714 3.8095 0.2381 50
A#3 3.8095 4.0476 0.2381 50
A#3 4.0476 4.2857 0.2381 50
A#3 4.2857 4.5238 0.2381 50
A#3 4.5238 4.7619 0.2381 50
A#3 4.7619 5.0000 0.2381 50
A#3 5.0000 5.2381 0.2381 50
A#3 5.2381 5.4762 0.2381 50
A#3 5.4762 5.7143 0.2381 50
A#3 5.7143 5.9524 0.2381 50
A#3 5.9524 6.1905 0.2381 50
A#3 6.1905 6.4286 0.2381 50
A#3 6.4286 6.6667 0.2381 50
A#3 6.6667 6.9048 0.2381 50
A#3 6.9048 7.1428 0.2381 50
A#3 7.1428 7.3809 0.2381 50
A#3 7.3809 7.6190 0.2381 50
A#3 7.6190 7.8571 0.2381 50
A#3 7.8571 8.0952 0.2381 50
A#3 8.0952 8.3333 0.2381 50
A#3 8.3333 8.5714 0.2381 50
A#3 8.5714 8.8095 0.2381 50
A#3 8.8095 9.0476 0.2381 50
A#3 9.0476 9.2857 0.2381 50
A#3 9.2857 9.5238 0.2381 50
A#3 9.5238 9.7619 0.2381 50
A#3 9.7619 10.0000 0.2381 50
A#3 10.0000 10.2381 0.2381 50
A#3 10.2381 10.4762 0.2381 50
A#3 10.4762 10.7143 0.2381 50
A#3 10.7143 10.9524 0.2381 50
A#3 10.9524 11.1905 0.2381 50
A#3 11.1905 11.4286 0.2381 50
A#3 11.4286 11.6667 0.2381 50
A#3 11.6667 11.9047 0.2381 50
A#3 11.9047 12.1428 0.2381 50
A#3 12.1428 12.3809 0.2381 50
D4 12.3809 12.6190 0.2381 50
D4 12.6190 12.8571 0.2381 50
D4 12.8571 13.0952 0.2381 50
D4 13.0952 13.3333 0.2381 50
C4 13.3333 13.5714 0.2381 50
C4 13.5714 13.8095 0.2381 50
C4 13.8095 14.0476 0.2381 50
C4 14.0476 14.2857 0.2381 50
F4 14.2857 14.5238 0.2381 50
F4 14.5238 14.7619 0.2381 50
F4 14.7619 15.0000 0.2381 50
F4 15.0000 15.2381 0.2381 50
G4 15.2381 15.4762 0.2381 50
G4 15.4762 15.7143 0.2381 50
G4 15.7143 15.9524 0.2381 50
G4 15.9524 16.1905 0.2381 50
G4 16.1905 16.4286 0.2381 50
G4 16.4286 16.6666 0.2381 50
G4 16.6666 16.9047 0.2381 50
G4 16.9047 17.1428 0.2381 50
G4 17.1428 17.3809 0.2381 50
G4 17.3809 17.6190 0.2381 50
G4 17.6190 17.8571 0.2381 50
G4 17.8571 18.0952 0.2381 50
C4 18.0952 18.3333 0.2381 50
A#3 18.3333 18.5714 0.2381 50
A3 18.5714 18.8095 0.2381 50
F3 18.8095 19.0476 0.2381 50
G3 19.0476 19.2857 0.2381 50
D#2 19.4047 19.6428 0.2381 50
G3 19.5238 19.7619 0.2381 50
D#2 19.7619 20.0000 0.2381 50
D4 19.7619 20.0000 0.2381 50
C4 20.0000 20.2381 0.2381 50
D#2 20.3571 20.5952 0.2381 50
A#3 20.4762 20.7143 0.2381 50
D#2 20.7143 20.9524 0.2381 50
